3.080298241248087543e-02	2.497317422689737687e-04	2.054789206732572038e-11	1.550222427589859342e-01	3.386352771655913672e-04	2.126208873701767102e-02
1.572944915517112685e-01	1.128441652538736822e-01	5.185907476019596674e-02	8.623156360044030924e-03	3.429891703492903270e-03	3.822900314155189966e-02
6.258751967371942171e-02	2.895357012958515303e-02	7.239947691331476143e-02	7.604115021201009184e-02	1.353110071895668454e-01	1.947524837394361552e-01
1.264847329730005854e-01	1.169404553311917810e-01	1.970718325126019077e-01	1.267891368666558272e-01	2.436828723283450682e-01	4.940633744664841426e-02
1.313396223027442963e-03	2.305478640920061162e-02	2.669265269607458101e-05	4.055443692801063635e-04	3.096491104797786622e-05	3.891465812938308370e-06
1.745184453458632490e-01	2.361497783138186146e-01	2.926067336573635602e-01	4.845610810523918732e-01	2.140435830018874164e-01	2.723100104150320000e-01
7.932961737795322975e-04	6.713865031246355397e-06	3.038379300883516982e-05	1.989392455990712100e-02	6.392559339691711306e-04	6.779096188363096902e-03
1.727670279909552864e-08	4.429322703055586509e-06	3.235349484598553337e-03	4.779218665891153857e-03	2.392817540187812224e-03	2.755368374042625835e-06
8.018734254954211840e-03	4.962642484183368695e-08	2.853334735611617748e-04	1.224574900816118549e-02	3.994349720347774822e-03	2.194851399022782998e-06
1.202855821866844477e-01	9.198795101286594278e-02	1.418288112444655857e-01	1.203943575335730681e-01	1.563845997467484816e-01	1.383241871913455379e-01
2.856440789332727603e-01	2.015805893772168456e-01	1.819439529411379652e-01	2.641434908430955741e-01	4.131317347395334627e-01	3.589476295173555376e-01
3.439618521986299166e-02	1.414617728872268609e-01	4.294111754968491512e-01	4.875823720401405159e-02	7.390755432080313714e-01	5.600304764810114522e-01
4.096078947611222348e-02	2.111912192029839069e-02	4.932419053549950277e-02	4.436743730970476446e-02	7.178529202874169013e-02	2.373631011722861922e-02
4.908342733948263537e-02	5.702557914407312412e-01	7.607658273145599948e-01	6.735069942890838934e-01	5.106363685097539129e-01	1.356272974801177832e-02
